题库分类,题目ID,题目类型,是否必答,题目内容,选项A,选项B,选项C,选项D,正确答案,备注
服务器规则,10,单选题,否,如果被误封禁你应该怎么做？,创建新账号继续游戏,在群里辱骂管理员,通过正规渠道申诉,放弃这个服务器,C,误封处理方式
服务器规则,11,多选题,是,以下哪些行为在服务器中是被禁止的？,使用作弊客户端,恶意破坏他人建筑,偷窃他人物品,利用漏洞刷物品,ABCD,禁止行为列表（必答）
服务器规则,12,多选题,否,如果发现其他玩家作弊正确的做法有哪些？,举报给管理员,收集证据,告诉其他玩家小心,自己保持公正,ABCD,发现作弊正确做法
服务器规则,13,多选题,否,以下哪些行为在服务器中是允许的？,建造房屋,挖矿收集资源,与玩家交易,正常游戏交流,ABCD,允许行为列表
服务器规则,14,多选题,否,如果与其他玩家发生冲突正确的做法有哪些？,保持冷静,向管理员举报,收集证据,理性沟通,ABCD,冲突正确处理
服务器规则,15,多选题,是,以下哪些行为会被封禁？,使用作弊客户端,恶意破坏他人建筑,偷窃他人物品,利用漏洞刷物品,ABCD,封禁行为列表（必答）
服务器规则,16,多选题,否,服务器允许使用哪些客户端？,官方客户端,Optifine优化客户端,LabyMod客户端,作弊客户端,ABC,允许客户端类型
服务器规则,17,多选题,否,如果发现服务器漏洞正确的做法有哪些？,立即向管理员报告,不利用漏洞,不告诉其他玩家,收集漏洞信息,ABCD,漏洞正确处理
服务器规则,18,多选题,否,在服务器中以下哪些行为是正确的？,尊重其他玩家,遵守服务器规则,帮助新玩家,积极参与社区活动,ABCD,正确行为列表
服务器规则,19,多选题,否,服务器允许建造哪些类型的红石机器？,自动农场,刷铁机,物品分类器,自动熔炉,ABCD,允许红石机器
服务器规则,20,多选题,否,如果被误封禁正确的做法有哪些？,通过正规渠道申诉,收集证据证明清白,保持耐心等待,理性沟通,ABCD,误封正确处理
